Boat,Class,Name
1,CR,Mr. Albert Edward James Horswell or Horswill
1,CR,Mr. Charles Hendrickson or Hendricksen
1,CR,Mr. George Thomas Macdonald Symons
1,CR,Mr. James Taylor
1,CR,Mr. Samuel Collins
1,CR,Mr. Shee
1,CR,Robert William Pusey
1,FC,Lady Lucille Wallace Sutherland Duff Gordon
1,FC,Miss Francatelli
1,FC,Mr. Abraham L. Salomon
1,FC,Mr. Charles Emil Henry Stengel
1,FC,Sir Cosmo Edmund Duff Gordon
2,CR,Cmdr. Joseph Groves Boxhall
2,CR,Mr. Frank Osman
2,CR,Mr. James Johnson (or Johnston)
2,FC,Miss (?) Amelia Kenchen
2,FC,Miss Elizabeth Walton Allen
2,FC,Miss Georgette Alexandra Madill
2,FC,Miss LeRoy
2,FC,Mrs. Edward Dale (Charlotte Lamson) Appleton
2,FC,Mrs. Edward Scott (Elizabeth Walton McMillan) Robert
2,FC,Mrs. Robert Clifford (Molvina Helen Lamson) Cornell
2,FC,Mrs. Walter Donald (Mahala Dutton) Douglas
2,OT,a cook
2,TC,Master Georges Youssef
2,TC,Master Neville Coutts
2,TC,Master William Leslie Coutts
2,TC,Miss Louise Gretchen Kink
2,TC,Miss Marian Youssef9
2,TC,Mr. Anton Kink
2,TC,Mr. Brahim Youssef9
2,TC,Mrs. Anton (Louise Heilmann) Kink
2,TC,Mrs. Brahim (Hanne) Youssef9
2,TC,Mrs. William (Minnie) Coutts
3,CR,Mr. C.D. McKay
3,CR,Mr. C.H. Pascoe
3,CR,Mr. George Moore
3,FC,Col. Alfons Simonius-Blumer
3,FC,Dr. Max Staehlin
3,FC,Master Robert Douglas Speddon
3,FC,Miss (?) Anna Hard
3,FC,Miss (?) Helen Wilson
3,FC,Miss Burns
3,FC,Miss Elizabeth W. Shutes
3,FC,Miss Margaret Edith Graham
3,FC,Miss Pericault
3,FC,Mr. Adolphe Saalfeld
3,FC,Mr. Albert Adrian Dick
3,FC,Mr. Frederic Oakley Speddon
3,FC,Mr. Harry Anderson
3,FC,Mr. Henry Sleeper Harper
3,FC,Mr. Lesneur
3,FC,Mr. Thomas Drake Martinez Cardeza
3,FC,Mr. Walter James Hawksford
3,FC,Mrs. Albert Adrian (Vera Gillespie) Dick
3,FC,Mrs. Charles Melville (Clara Jennings Gregg) Hays
3,FC,Mrs. Henry Sleeper (Myra Haxtun) Harper
3,FC,Mrs. James Warburton Martinez (Charlotte Wardle Drake) Cardeza
3,FC,Mrs. Thornton (Orian Hays) Davidson
3,FC,Mrs. William Thompson (Edith Junkins) Graham
3,FC,Mrs. Frederic Oakley (Margaretta Corning Stone) Speddon
3,FC,Hamad Hassah
4,CR,Mr. Andrew Cunningham
4,CR,Mr. F. Smith
4,CR,Mr. Frank W. Prentice
4,CR,Mr. Frederick Scott
4,CR,Mr. Jack Foley
4,CR,Mr. James Crimmins
4,CR,Mr. S.C. Seibert
4,CR,Mr. Sam Parks
4,CR,Mr. Samuel S. Hemming or Hemmings
4,CR,Mr. Thomas Patrick Granger
4,CR,Mr. Thomas Patrick. Dillon
4,CR,Mr. W.H. Lyons
4,CR,Mr. Walter John Perkis
4,CR,Mr. W. McCarthy
4,FC,Master John Borie Ryerson
4,FC,Master William Thornton Carter II
4,FC,Miss (?) Chandowson
4,FC,Miss (?) Margaret Fleming
4,FC,Miss Bidois
4,FC,Miss Caroline Louise Endres
4,FC,Miss Elizabeth Mussey Eustis
4,FC,Miss Emily Borie Ryerson
4,FC,Miss Grace Scott Bowen
4,FC,Miss Jean Gertrude Hippach
4,FC,Miss Lucile Polk Carter
4,FC,Miss Serepeca
4,FC,Miss Suzette Parker Ryerson
4,FC,Mrs. Arthur Larned (Emily Maria Borie) Ryerson
4,FC,Mrs. George Dunton (Eleanor Elkins) Widener
4,FC,Mrs. John Borland (Marian Longstreth Morris) Thayer
4,FC,Mrs. John Bradley (Florence Briggs Thayer) Cumings or Cummings
4,FC,Mrs. John Jacob (Madeleine Talmadge Force) Astor
4,FC,Mrs. Walter Bertram (Martha Eustis) Stephenson
4,FC,Mrs. Walter Miller (Virginia McDowell) Clark
4,FC,Mrs. William Ernest (Lucile Polk) Carter
4,FC,Victorine Perkins
4,FC,Mrs. Louis Albert (Ida Sophia Fischer) Hippach
4,OT,a baby in Miss Eustis care
4,OT,a stowaway
4,OT,a young woman and her baby 9
4,OT,Widener maid
4,TC,Master Carl Edvin Rojj Felix Asplund
4,TC,Master Elias Nicola-Yarred
4,TC,Miss Jamila Nicola-Yarred
4,TC,Miss Lillian Gertrude Asplund
4,TC,Mr. Daniel Buckley
4,TC,Mrs. Carl Oscar (Selma Augusta Johansson) Asplund
5,CR,Cmdr. Herbert John Pitman
5,CR,Mr. Alfred Olliver
5,CR,Mr. Alfred Shiers
5,CR,Mr. C. Edwards 36 steward (mentioned by Shapiro
5,CR,Mr. E.J. Guy
5,CR,Mr. Henry Samuel Etches
5,CR,Mr. Paul Mauge
5,FC,Dr. Henry William Frauenthal
5,FC,Master Washington Dodge
5,FC,Miss Harriet R. Crosby
5,FC,Miss Helen Raghnild Ostby
5,FC,Miss Marguerite Frolicher
5,FC,Mr. Edward P. Calderhead
5,FC,Mr. Edwin Nelson Kimball Jr.
5,FC,Mr. Elmer Zebley Taylor
5,FC,Mr. George Achilles Harder
5,FC,Mr. Isaac Gerald Frauenthal
5,FC,Mr. John Irving Flynn
5,FC,Mr. Karl Howell Behr
5,FC,Mr. Norman Campbell Chambers
5,FC,Mr. Richard Leonard Beckwith
5,FC,Mr. Samuel L. Goldenberg
5,FC,Mr. Spencer Victor Silverthorne
5,FC,Mrs. Charles Emil Henry (Annie May Morris) Stengel
5,FC,Mrs. Edward Gifford (Catherine Elizabeth Halstead) Crosby
5,FC,Mrs. Edwin Nelson (Gertrude Parsons) Kimball Jr.
5,FC,Mrs. Elmer Zebley (Juliet Cummins Wright) Taylor
5,FC,Mrs. Frank Manley (Anna S. Atkinson) Warren
5,FC,Mrs. George Achilles (Dorothy Annan) Harder
5,FC,Mrs. Henry Arthur (Genevieve Fosdick) Cassebeer Jr.
5,FC,Mrs. Henry William (Clara Heinsheimer) Frauenthal
5,FC,Mrs. Maximillian (Margaretha Emerentia Stehli) Frolicher-Stehli
5,FC,Mrs. Norman Campbell (Bertha Griggs) Chambers
5,FC,Mrs. Richard Leonard (Sallie Monypeny) Beckwith
5,FC,Mrs. Samuel L. (Edwiga Grabowsko) Goldenberg
5,FC,Miss Helen Monypeny Newsom
5,FC,Mr. Maximillian Frolicher-Stehli
5,FC,Mrs. Washington (Ruth Vidaver) Dodge
5,OT,a baby
5,OT,a stewardess
5,OT,one of two stowaways identified as East Asian by Mr. Stengel 
6,CR,another of two stowaways identified as East Asian by Mr. Stengel 
6,CR,Mr. Frederick Fleet
6,CR,Mr. Robert Hitchens9 or Hichens
6,FC,Maj. Arthur Godfrey Peuchen
6,FC,Mdme. Berthe de Villiers
6,FC,Miss Barber
6,FC,Miss Elsie Edith Bowerman
6,FC,Miss Icard
6,FC,Miss Madeleine Newell
6,FC,Miss Marjorie Newell
6,FC,Miss Norton
6,FC,Mrs. Carl Johan (Sigrid Posse) Lindstrom
6,FC,Mrs. Edith Martha Chibnall
6,FC,Mrs. Edward (Helen Churchill Hungerford) Candee
6,FC,Mrs. Frederick Charles (Suzette Baxter) Douglas
6,FC,Mrs. George Nelson (Martha E. ) Stone
6,FC,Mrs. James (Helene De Laudeniere Chaput) Baxter
6,FC,Mrs. James Joseph (Margaret Molly Tobin) Brown
6,FC,Mrs. Lucien Philip (Mary Eloise Hughes) Smith
6,FC,Mrs. Martin (Elizabeth L. Barrett) Rothschild
6,FC,Mrs. William Augustus (Marie Eugenie) Spencer
6,FC,Mrs. Edgar Joseph (Leila Saks) Meyer
6,OT,a boy with an injured arm ordered in by Capt. Smith  (possibly same as Peuchens stowaway)
6,OT,a fireman transferred later from Boat 16 to row 
6,OT,a stowaway
7,CR,Mr. Archie Jewell
7,CR,Mr. George A. Hogg
7,CR,Mr. W. Weller
7,FC,Miss Dorothy Gibson
7,FC,Mr. A. Fernand Omont
7,FC,Mr. Alfred Nourney (Baron von Drachstedt)
7,FC,Mr. Dickinson H. Bishop
7,FC,Mr. Frederic Kimber Seward
7,FC,Mr. Gilbert Milligan Tucker Jr.
7,FC,Mr. Henry Blank
7,FC,Mr. James R. McGough
7,FC,Mr. John Pillsbury Snyder
7,FC,Mr. Paul Chevre
7,FC,Mr. Pierre Marechal
7,FC,Mr. Robert Williams Daniel
7,FC,Mr. William Bertram Greenfield
7,FC,Mr. William Thompson Sloper
7,FC,Mrs. Alfred (Antoinette) Flegenheim
7,FC,Mrs. Boulton (Olive Potter) Earnshaw
7,FC,Mrs. Dickinson H. (Helen Walton) Bishop
7,FC,Mrs. John Pillsbury (Nelle Stevenson) Snyder
7,FC,Mrs. Leo David (Blanche Strouse) Greenfield
7,FC,Mrs. Leonard (Pauline C. Boeson) Gibson
7,FC,Mrs. Thomas (Lily Alexenia Wilson) Potter Jr. 
7,FC,Miss Margaret Bechstein Hays
8,CR,one out of four crew in all
8,CR,a second out of four crew in all
8,CR,Mr. Alfred Crawford
8,CR,Mr. Thomas Jones
8,FC,Amelia Bessetti
8,FC,Dr. Alice Farnham Leader
8,FC,Miss (?) Albina Bazzani
8,FC,Miss (?) Sarah Daniels
8,FC,Miss Caroline Bonnell
8,FC,Miss Constance Willard
8,FC,Miss Elizabeth Bonnell
8,FC,Miss Ellen Bird
8,FC,Miss Gladys Cherry
8,FC,Miss Maloney
8,FC,Miss Marie Grice Young
8,FC,Miss Mary Natalie Wick
8,FC,Miss Ruth Taussig
8,FC,Mlle. Olivia
8,FC,Mrs. Emil (Tillie Mandelbaum) Taussig
8,FC,Mrs. Frederick Joel (Margaret Welles Barron) Swift
8,FC,Mrs. Frederick R. (Marion) Kenyon
8,FC,Mrs. George Dennick (Mary Hitchcock) Wick
8,FC,Mrs. J. Stuart (Ella Holmes) White
8,FC,Mrs. Thomas (Edith Warne) Pears
8,FC,Mrs. William Robert (Emma Eliza Ward) Bucknell
8,FC,the Countess of Rothes (Noel Lucy Martha Dyer-Edwards)
8,FC,Mrs. Victor de Satode (Josefa de Soto) Penasco
8,OT,a cook
8,OT,another seaman
8,OT,Gracie lists steward Hart on this boat according to Mr. Jones testimony
9,CR,Mr. Albert Haines
9,CR,Mr. George Scooch Kemish
9,CR,Mr. James G. Widgery
9,CR,Mr. James R. Paddy McGough
9,CR,Mr. W. C. Peters
9,CR,Mr. Walter Wynne 9
9,CR,Mr. William Ward
9,FC,Miss Mary Conover Lines
9,FC,Mlle. Segesser
9,FC,Mrs. Ernest H. (Elizabeth Lindsey James) Lines
9,FC,Mrs. Jacques (May Peel) Futrelle
9,FC,Mrs. Leontine Pauline Aubert
9,SC,Miss Alice Herman
9,SC,Miss Bertha Watt
9,SC,Miss Ellen Toomey
9,SC,Miss Kate Buss
9,SC,Miss Kate Herman
9,SC,Miss Marion Wright
9,SC,Mr. Charles Wilhelms
9,SC,Mr. Sydney C. Stuart Collett
9,SC,Mrs. James (Bessie Inglis Milne) Watt
9,SC,Mrs. Samuel (Jane Laver) Herman
9,SC,Mrs. William H. (Jessie L.) Trout
10,CR,Mr. C. Rice
10,CR,Mr. Edward John Buley
10,CR,Mr. Frank Oliver Evans
10,CR,Mr. William Burke
10,FC,Miss Alice Elizabeth Fortune
10,FC,Miss Ethel Flora Fortune
10,FC,Miss Gretchen Fiske Longley
10,FC,Miss Kornelia Theodosia Andrews
10,FC,Miss Mabel Fortune
10,FC,Mrs. John C. (Anna Andrews) Hogeboom
10,FC,Mrs. Mark (Mary McDougald) Fortune
10,OT,a male passenger who jumped from deck 9 (possibly Mr. Hosono
10,OT,a steward
10,OT,a stowaway
10,SC,Miss Nora A. Keane
10,SC,Mr. Masafumi Hosono
11,CR,Mr. A. McMicken or McMichen
11,CR,Mr. A. Thissinger or Thessenger or Thussinger
11,CR,Mr. Charles Donald Mackay
11,CR,Mr. Edward Wheelton
11,CR,Mr. Joseph Thomas Wheate or Wheat
11,CR,Mr. S. Humphreys or Humphries
11,CR,Mr. W. Brice
11,CR,Mrs. Annie Robinson
11,CR,Mrs. Maude Slocombe
11,FC,Master Hudson Trevor Allison
11,FC,Miss (?) Alice Cleaver
11,FC,Miss Edith Louise Rosenbaum or Russell
11,FC,Mr. Philip E. Mock
11,FC,Mrs. Paul (Emma Mock) Schabert
11,OT,a fireman 9
11,SC,Master Richard F. Becker
11,SC,Miss Jessie Leitch
11,SC,Miss Marion Louise Becker
11,SC,Miss Maude Sincock
11,SC,Miss Mildred Brown
11,SC,Miss Nina Harper
11,SC,Miss Phyllis May Quick
11,SC,Miss Winifred Vera Quick
11,SC,Mrs. Allen Oliver (Nellie E. Baumgardner) Becker
11,SC,Mrs. Elizabeth Ramell Nye
11,SC,Mrs. Frederick C. (Jane Richards) Quick
11,TC,Master Philip Aks
12,CR,Mr. Frederick Clench or Clinch
12,CR,Mr. John Poingdestre
12,OT,a male passenger who jumped from deck
12,OT,Seaman Lucas and two firemen transferred from Boat D 9
12,SC,Miss Alice Phillips
12,SC,Miss Asuncion Duran y More
12,SC,Miss Dagmar Bryhl
12,SC,Miss Emily Rugg
12,SC,Miss Florentina Duran y More
12,SC,Miss Lillian W. Bentham
12,SC,Mrs. John James (Florence Louise Long) Ware
12,SC,Mrs. Lutie Davis Parrish
12,SC,Mrs. Samuel (Anna) Abelson
12,SC,Mrs. William (Imanita) Shelly
12,TC,Master Bertram Vere Dean
12,TC,Miss Elizabeth Gladys Millvina Dean
12,TC,Mrs. Bertram (Eva Ettie) Dean
12,TC,Mrs. Percival (Florence Kate White) Thorneycroft
13,CR,Mr. Frederick Barrett
13,CR,Mr. Frederick Dent Ray
13,CR,Mr. George William Beauchamp
